20230127	08:57:28 	4cf13bc3-e1e0-4cf0-b0c7-a09726f7e306	GET 	undefined 	/ 
20230127	08:57:47 	1798c07e-ed62-4c8f-b472-7cd9e129c294	GET 	undefined 	/ 
20230127	08:57:49 	c24f0741-cdc6-405c-9adb-749ab761b216	GET 	undefined 	/ 
20230127	08:59:08 	c74ccbe3-a17c-436d-922b-fe98b57d6b0e	GET 	undefined 	/ 
20230127	08:59:08 	0ba2cff2-e97f-49be-a73b-c778fd1fedaf	GET 	undefined 	/css/styles.css 
20230127	08:59:21 	7f8ac094-5f91-4594-be09-a6e9d432a4e1	GET 	undefined 	/ 
20230127	08:59:32 	5f882f02-821b-4b19-83e0-29da8f320774	GET 	undefined 	/ 
20230127	08:59:32 	0082622b-45c9-46c8-b1d2-fe8347883726	GET 	undefined 	/css/styles.css 
20230127	09:15:24 	666a4bfe-1452-498b-ab71-628d5d596cde	GET 	undefined 	/ 
20230127	09:16:27 	c43e239d-92f6-4db9-a587-759df2d013a5	GET 	undefined 	/ 
20230127	09:16:29 	2ae38d3f-5ed4-4578-a7a5-1a417294744e	GET 	undefined 	/ 
20230127	09:16:30 	edf8df18-4e83-4314-8146-d1b0af3c8e93	GET 	undefined 	/ 
20230127	09:16:37 	0b9e1aa3-9245-41af-8c03-36c109109f3a	GET 	undefined 	/data/data.json 
20230127	09:29:29 	a69b1aba-29e7-48a6-b638-31725f6a7123	GET 	undefined 	/data/data.json 
20230127	09:39:12 	4aa01d08-6c1a-47cf-86f7-3a619744f354	GET 	undefined 	/data/data.json 
20230127	09:39:20 	97a56996-ac40-420c-9eea-d7940618ab1f	GET 	undefined 	/ 
20230127	09:40:39 	3193cfe6-cfab-4410-8450-41edab64dd61	GET 	undefined 	/ 
20230127	09:43:17 	ce669a98-e682-4036-9565-56828ba99581	GET 	undefined 	/ 
20230127	09:43:17 	8214212d-0139-405b-bf0f-48edeb01fdff	GET 	undefined 	/css/styles.css 
20230127	09:43:17 	8425963d-06ae-4ec5-8d4a-57e81f02c46a	GET 	undefined 	/favicon.ico 
20230127	09:43:52 	c1eef401-6afc-4001-ba48-35e19e307600	GET 	https://www.google.com 	/ 
20230127	09:45:53 	b6f5958b-8a27-4439-8c03-f725930e34d7	GET 	https://www.google.com 	/ 
20230127	09:45:56 	b26c31d6-17f2-4ec3-85a7-92d53132fd13	GET 	undefined 	/ 
20230127	09:45:56 	ea7f5508-79b3-4b1e-a980-7fa8a34f66cb	GET 	undefined 	/css/styles.css 
20230127	09:45:56 	d34566b7-e5a2-4bab-a08a-66c2187cd588	GET 	undefined 	/favicon.ico 
20230127	09:45:58 	a14ed341-fe9b-4a03-acf5-f2eee036680f	GET 	undefined 	/ 
20230127	09:45:58 	69b83010-c2d2-42a9-9503-b5aea18f3a0e	GET 	undefined 	/css/styles.css 
20230127	09:45:59 	894b329a-64b4-44b3-ae2f-4eb30c72611d	GET 	undefined 	/ 
20230127	09:45:59 	d11e4761-54b5-4326-84aa-eef5ac1450a6	GET 	undefined 	/css/styles.css 
20230127	10:13:42 	5b49f8d6-6446-4d86-b6ed-901b196a3407	GET 	undefined 	/subdir/index 
20230127	10:14:55 	602c0fae-8496-4222-ad7e-10f1aeee2f2b	GET 	undefined 	/subdir/index 
20230127	10:14:56 	1cb314f9-8cbc-475f-8d55-1128436aaa80	GET 	undefined 	/subdir/css/styles.css 
20230127	10:16:11 	466535ab-01fa-40a4-8ac7-3a9ae0033c37	GET 	undefined 	/subdir/index 
